instagram_comments,offensive_language
Piada esse tipo de gente !,1
Parabéns!!,0
É um gagá mesmo esse desgraçado defensor do Bozo.,1
Tua luz incômoda as trevas Ministra👏👏,0
"Parabéns Guerreira, tens meu respeito e apoio.",0
Intervenção militar já !!! Acaba STF não serve pra nada mesmo...@joicehasselmannoficial,1
Deixe sua risada!🤣🤣🤣,0
"Pra cima deles, Cristina!!!!!",0
"Fico pensando como povo se deixou enganar assim,e cada vez que ele tira alguma coisa de nós tem gente que ainda aplaude 😏🤢",0
"Esses filhos são uns ignorantes, irresponsáveis e arrogantes!",1
Paulo Freire era tão bom que nenhum país no mundo copiou seu modelo de (des)educação! Esquerdista safado!,1
Selvaaaaaaa 🇧🇷👏,1
Vc só foi eleita pq colou no Bolsonaro poderia ter um pouquinho de lealdade...só um pouquinho...,1
Sou Bolsonaro sempre!!!!!🤜🤛,0
Verdade! Quanta ingenuidade.,0
se tem foto tem video,0
SE.VC.FAZER UMA PESQUISA. VC VAI VERBQIE MUITOS CONCORDAM. NAO DA MAIS ESSE STF ESSA ESQUERDA,0
Queridos 💙,0
"Somos a maioria, graças a Deus!!! 👏👏👏👏😍😍😍😍",0
Besta quadrada.,1
"E ainda tem muitos dos trabalhadores que votaram nele,menospreza Lula,e diz que Bolsonaro é o rei da cocada preta.",0
A imprensa parece as vezes um judas.,1
🤣🤣🤣🤣🤣🤣🤣 tem dó! O que fortalece a esquerda é uma esquerda disfarçada de direita.,0
Hipócrita 🤬🤬🤬,1
Parabéns professor🙏,0
São uns Malditos que só pensam no bolso deles e que os Pobres e os Discriminados pela sociedade cruel continuem nas mãos deles. Comunistas do Inferno! 😢😢😢,1
Meu presidente sempre elegante.,0
Quem dá moral pra essa mulher fala e uma esquerdista disfarçada louca por poder vamos lacrar kkkkkk,1
Top!!!,0
"Parabéns pelo teu trabalho e teu engajamento, tão necessário ao contexto caótico em que temos vivido. És uma voz feminina importante no cenário atual. Gostaria apenas de trazer um ponto a respeito do Miss Universo. Hoje ele é bem mais do que um concurso de beleza. Tornou-se também um espaço de pleito, de posicionamento político, afinal como diz Focault, todo ser é político e, política se faz em todo lugar. Um beijo grande do extremo sul do Brasil ❤️",0
"Este rapaz é um enfant gaté, uma criança mimada. O BOLSONARO não precisa de inimigos, já os tem em família.",1
Põe ele pra fora do Brasil,0
Vergonha...,1
Ela é linda demais!!!! ❤❤❤,0
Por mais colégios militares espalhados pelo Brasil 👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏,0
Parabéns Professor 👏♥️,0
👏👏👏👏aos Educadores!!,0
Amo as entrevistas da Leda👍,0
Esse cara é um louco ! Fora Bozó!,1
"Ai5 é meus ovos , entrevista de qualidade de gente sem cérebro🍊🍊🍊🍊🍊🍊🍊🍊",1
Isso é um doente,1
O despejo e grande,0
Esse cara o futuro presidente do país.,0
Negar negar negar o lugar de vagabundo todo mundo sabe aonde é....,0
"Gente, num aguento mais as palhaçadas desse cara. E ainda tem gente que acha que ele é apenas engraçado. Ridículo. Vergonhoso",1
vamos fazer alguma coisa... acredito plenamente q esse verme nao é humano...gostaria de saber o nome desse fdp,1
não e novidade . pessoal que nao vale nada . 💩💩💩💩,1
Ta igual a Globolixo... uma fala dele e vc ta criando mentiras. Sabe interpretar nao ne!! Vc só se afunda Joice. Deprimente!!!,1
"Não há limites para a desumanidade da mídia e de opositores do mal, perversos, cheios de raiva e deboche. Felizmente ela tem muita fibra...se recompõe e volta a ser incisiva e justa onde é necessário. A esquerda pode TUDO, até mesmo atos criminosos, os outros NADA.",1
Vou assistir. ❤️ ❤️,0
❤️❤️❤️❤️❤️❤️.Dois seres humanos super.Amoooooo,0
Vai chupar cacete biscate,1
Peço a Deus que nossos dirigentes tenham realmente iluminação para tomar decisões certas mas em tempo certo! Deus abençõe o Presidente e está Nação!! Fica na paz.,0
Esse verme tem q ser preso! !😠,1
#ForaGovernoDeMilicianos,1
Joice é uma VERGONHA.,1
Que Deus a abençoe ministra e lhe dê forças pra continuar fazendo o seu excelente trabalho frente ao ministério.,0
Força Damares estamos com você❤️❤️🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,0
✊✊✊✊❗,0
✊✊✊✊ Vitória Cristina!!!?,0
😡Ridícula,1
"Um dos poucos q restam, em termos de justiça neste país...",0
Náusea define,1
Benedita como sempre!!!!! Arrebentando!!!!👏👏👏👏,0
Poise os movimentos principalmente os feministas não falaram nada.,0
E se diz pastor um endomoniado desse.,1
E o Bolsonaro deve estar muito preocupado....🤣🤣🤣,0
Sem graça alguma isso não é pergunta q se faça para uma criança esse velho está perdendo a vergonha na cara ridiculo,1
Esse terrorista tem que voltar pra CADEIA.,1
Nojo!,1
FDPS,1
Benedita é um patrimônio da comunidade negra e do Rio... orgulho da raça...fora racistas!!!!,0
"Houve um tempo atrás que o Brasil recebeu milhares de chilenos, que veio arrumar emprego aqui no Brasil e os brasileiros os receberam de braços abertos, mas, o mundo e o povo é assim esquece rápido o bem que o outro fez! Mas, essa comunista está se achando, mas, é uma tremenda corrupta.",1
"A verdade é uma só. Quem quer entender de boa Fé entenderá, mas quem não quer, não fará questão. 🇧🇷✅💚 A maldade é o caminho mais rápido para alcançar o topo do pódio, porém terá que descer, terá que colher o que plantou. Até os maus pensamentos se terá colheitas. 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 Picuinhas é o maior desastre para um político HOJE. Se falou tão bem ontem hoje, inimigo. Não confio em tal pessoa que assim faz.",0
Safada🤢🤢🤢,1
Vai faltar cadeia kkkkk,1
Vc merece muito mais,0
É uma vergonha,1
demaisssss👌🏻,0
Meu futuro presidente 👏👏👏👏😍😍,0
Totalitarismo não passará.,0
Esses caras falam demais e só atrapalham,0
Que milagre não pareceu os gados dizendo bobagens 😒😒😒,1
Esse cara só evacua pela boca?,1
Odeio ele,1
Seu fiofó,1
Não há o que fazer pra reverter??,0
Realmente a hipocrisia está estampada na cara de pau 👎👎👎👎,1
"Eu acho bom ele dizer bastante cocô,pq assim quem o apoiou pode acordar e perceber que ele mitou e está nós matando de vergonha.",1
Ainda dá tempo de pedir desculpas e voltar para a direção certa.,0
Aprende a votar Brasil,0
"Vai governar o Brasil que é melhor! Esquece a esquerda...faz melhor, mais pelo povo.",0
Mais ela e mesmo uma pirralha e daí ? Mau intencionada e mau informada,1
"Ficaria surpresa se esse Lixo ficassem a favor do país,",1
Realmente handrade kkk lembro do slogan da campanha Lula é Haddad Haddad é Lula hahhahaha os dois condenados.,1
Essa gleisi tá bem doida,1
#foraglobolixo,1
Parabéns,0
Fazer um video denunciando essa fakenews seria mais util. Esse post confunde os leitores. Afinal derrubaram ou não?,0
Parabéns Fernando ! UP sempre para a educação!,0
Parabéns grande professor! 🌹,0
Ninguém está preocupado com a pena dela. É melhor ela cuidadar do pais dela .,1
Parabéns!👏🏼👏🏼😍,0
Vermes parasita,1
Esse é top,0
Pirralha se achando e faturando com o sucessinho de mídia esquerda.... a para ae...,1
"Desculpem as pessoas de bem pois o resto não me importa, minhas fezes valem mais que os dois juntos.",1
ESTE CANALHA NÃO PODE FICAR SOLTO .GRAÇAS A ESTE STF COMPOSTO PORINCOMPETENTES METADE COM RABO PRESO A DEFENDER BANDIDOD Q PODEM AGREDIR DOM FRASES TERRIVEIS NOSSO PRESIDENTE E SEUS MINISTROS INCLUSIVE ESTE BEBADO DECREPTO AGRIDE O MINISTRO MORO COM PALAVROES NÃO ACONTECE NADA MAIS DAÍ A INVESTIGAR MINISTRO DO STF. NAO PODE. Q DEMOCRACIA É ETA?,1
Cretina,1
Bandido!!!!,1
Que do Cara do mal. !!!!,1
"nunca era pra ter sido presso, esses canalha vão pagar nem que seja no inferno",1
Merece muito!👏👏👏,0
"Escroto ,nojento 🤮🤮🤮",1
Pirralha,1
Queria saber como alguém em sã consciência comemora o início de uma guerra que matou milhões?!!!!!😱😱🤮🤮😠😠,0
"Sempre foi e é dinheiro, isto NUNCA MUDARÁ.",0
Pra mim não importa direita ou esquerda pq o Brasil é de nem uma dos dois por causa disso os políticos estão acabando com o Brasil. Pq quer defender seus partidos de esquerda ou direita pra eles o povo não importa.,0
"Com um congresso frouxo, o STF continuará reinando. É muito rabo preso entre todos aí. Dos antigos congressistas, já esperávamos os conchavos. Dos novos, só decepções até o presente momento.",1
USTRA VIVE EM 😎😎😎😎🇧🇷🇧🇷🇧🇷👏👏👏👏,1
VCS É QUE ESTÃO NOS ROUBANDO,1
Tão burro que doi😒 #elenao,1
Cadê o PSL para apoiar o Presidente no Congresso? Quem mais joga contra é o próprio partido. Acordem!,0
miliciano👹,1
"@cartacapital é um lixo, não serve nem para usar como jornal para meu cachorro fazer xixi. 🤮🤮🤮",1
Só o lixo da politica!,1
Concordo. Só fala merda,1
Dois feras ❤️,0
Senhora Michele Bachelet!,1
Parabéns Deputada Benedita!,0
Cadê o Ministério Público??????,0
O REGISTRO DE QUEM VAI FAZER A REVOLUÇÃO ACONTECER ✊🏻❤️!,0
Fica calado CARA !! Babaca .,1
Não precisamos ficar vendo a imagem disso.,0
Amooo os 2 ❤️,0
Coisa linda!!!!!,0
Que gente asquerosa!!! 🤮,1
Kkkkkkk e um pior que o outro mitei,1
Criança deveria estar na escola e não fazendo ativismo.,0
Toma vagabundo😂👏,1
Parabéns!!!! O Sr merece.,0
Cambada de vagabundos.,1
Coronel Tadeu??? Para mim é um bosta!!!!,1
Velha gagá FDP,1
O Leilane cala essa boca suja greluda,1
"Deputados, senadores quebram decoro, rasgam a constituição e nada acontece com vcs!",0
como eu gostaria q tivesse esse colégio em todo o Brasil. 💗,0
À máscara tá caindo👏👏👏👏 Lula Livreeeee,1
"Seria um SONHO , se eu pudesse pegar suas mãozinhas , as mãozinhas do coleguinha , e fizesse vocês pedirem desculpas um ao outro , darem um abraço e voltarem a brincar no pátio...",0
Tudo que esse babaca falou da nossa Ministra ele queria q fosse com ele.,1
Uhuu amoo,0
Ahhhh perfeito 👏👏👏,0
A TIME tb é mídia manipulada e dirigida por GRANA!,1
Com certeza os cadê Queiroz não vão perder 😁😁,0
Que bom que eles está bem! Já quero ver esse panelaço💚,0
"São as HIENAS carregadas de perversidade e sem nenhum respeito por pela dor dos outros. Não passam de lixos! Não merecem se quer,um segundo de atenção. Tamo com a senhora,ministra! Estamos do teu lado sempre. 🙏",1
“Professor”!,0
Lindíssima! Parabéns!,0
Isso é a retórica dela.,0
@bolsonarosp o câncer do noblat sempre fala no blog dele tic tac sobre a chata da Marielle !envolvendo vocês,1
"Vc está contra ou a favor do 🇧🇷 @joicehasselmannoficial? Desnecessário essas suas postagens sobre essa guria, NÃO ESTA AGREGANDO NADA , INÚTIL, muito pelo contrário vc está se desgastando a toa, vamos focar no q importante para o 🇧🇷! E parar de Mimimi.",1
Nosso presidente,0
"Joice voce esta se tornando infantil larga sua briguinha e alfinetadinha pessoal com o cara e vamos ajudar o brasil vamos, não é uma fala que ira acirrar ou inflamar a esquerda e sim a direita estar no poder isso sim a deixar preocupado ainda mas com os numeros e a imagem do pais indo tão bem e voce tem a sua parcela nisso ja basta tá bom ok 🙏",0
#Lulanacadeia,1
"Por um lado eu acho desnecessário ficar um atacando o outro, MAS por outro lado acho necessário, pois SÓ assim ficamos sabendo o que a passa nos bastidores .",0
Gente! Esse Brasil está sem rumo. Os vândalos é que manda,1
"Alguém ainda dúvida q vivemos uma ditadura do Congresso, Senado e Supremo? Desse jeito vai cobtinyar tudo como Dantes no quartel de Abrantes! E o Exército se fingindo de morto!😐",1
"E não foi só pela beleza, foi por toda sua representatividade, por sua força de expressão, foi incrível @manueladavila !!!",0
Vitória Vitória Vitória Vitória Vitória Vitória Vitória Vitória Vitória Vitória Vitória Vitória,0
La bem o mi mi mi @joicehasselmannoficial,0
Meu presidente 😍,0
Parabéns SR. Ministro! Ainda bem que temos o Sr aí para tentar alguma coisa!!!!!,0
Cumprindo promessas... 👏👏👏,0
"Esse otario merece uma corretiva,,,vamos ver se é homem,, assim como é na língua,,, dá uma sova nele com um chicote de umbigo de boi até ficar mole no chão para aprender a respeitar as pessoas,,,, não vpide comparar as oessiasy como se fosse da família dele!",1
É que o dindin pra ela acabou 😂😂😂,1
"Entendo sua indignação e revolta mas essa aí não merece sequer q a mencionemos, ignore-a, dê o q mais a machuca...o desprezo.",0
"Melhor comentarista que o nisso país tem . Realista , verdadeiro . Assino embaixo para ser comentarista econômico do nosso presidente .!",0
Múmia paralítica 😅😅😅,1
Vamos torcer pra isso,0
"Com Deus no comando sempre, tudo vai bem. 👏👏👏👏👏👏",0
Ridícula essa briguinha de vocês . Será que daria para crescer e voltar a trabalhar pelo Brasil ???????????,1
Nobre deputado destaque o STF vai continua mandando em nosso país?,0
Parabéns!👏,0
Boa meu professor @fernandohaddadoficial,0
"Com todo respeito , lindos que Deus continue te abençoando sempre 👏👏👏👏👏😘🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",0
Que a justiça aconteça em nome de Jesus,0
"Menina chata do caralho! Se for seguir o que ela diz teríamos bilhões de desempregados passando fome, as pessoas não tem noção, abram o leque e enxerguem além, a vida real é dura!",1
"hipocrisia, mal do seculo: falta de caráter geral. Ser humano não deu certo.",1
"Essa menina não passa de massa de manobra, mas a esquerda adora um “ídolo” cabeça de vento.",1
Estamos juntos👏👏😎😎,0
Gente ressentida faz de tudo para denegrir a imagem do outro. Coisa feiaaaaaa,0
Vc poderia ser mais sensata ... E não alimentar ainda mais as coisas... afinal de que lado vc esta ...,0
Nojoooo,1
"Para de progudicar o governo parem de botar leinha na fogueira, so demora afala mas quando falam sai fais por todo lado !!!",0
Feliciano é um dos políticos mais nojentos da atualidade.,1
Bandidona e pilantrona o leitinho acabou,1
coisa mais linda da minha vidaaaa🌷🌷🌷,0
Sensacional! 🤗🤗🤗,0
"A imagem usada é o que, cambada de FDP. Vocês são os verdadeiros preconceituosos... usaram um negro vestido da bandeira do Brasil baleado e caído e um policial branco com arma na mão insinuando o que??? Cafajestes!!! Pilantras!!!",1
Mostro sempre Benedita falando para minhas filhas branquinhas... quero beneditas ao meu redor!!!! Fora racistas.!!!!,0
Só quero saber quem irá julgar os esquerdopatas ? Sabemos muito bem que eles são os reis em FakeNews.,1
"Lula, foda-se.",1
Viva o nosso Presidente Bolsonaro 👏🙌👏🙌,0
"Vagabundo, safado! ...incentivando o vandalismo. 😡",1
Imperdível,0
"Sabe, fico até sem palavras pra tanta loucura em uma só pessoa!!!!",1
Pirralha,1
GLOBOLIXO GLOBOLIXO GLOBOLIXO GLOBOLIXO GLOBOLIXO GLOBOLIXO GLOBOLIXO GLOBOLIXO GLOBOLIXO GLOBOLIXO,1
vou discutir seu instagram .vc nunca respondi ou curti nada q eu falo fuiii,0
Ridículo esse cara,1
"Depois q esse verme sair , pode revogar essas merdas q ele tá fazendo com o povo?",1
Que luxo!!! Dois amores 😍😍,0
Hipócrita!!!! 🤮,1
Parabéns aos pobres de direita😒,0
Picareta vai pro inferno verme nojento 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,1
Super PIRRALHA!! Parabéns Mito.,1
"Esse Bozo só sabe tirar os direitos dos trabalhadores , agora dos ricos ele não tira .",0
Parabéns sr Presidente e sr Ministros,0
Como defender vocês perante eleitores de Bolsonaro?! Parecem crianças birrentas! Aff credooo!,1
Ameiiii,0
"Uma é traíra, a outra inejosa",1
"Vale lembrar q a vitória não será (apenas) de Cristina, será primeiramente de Alberto e mais ainda da esquerda. E Cristina diferente do líder daqui não foi egoísta e soube ceder e ter humildade de reconhecer o alto índice de rejeição que podia ter, e colocou em primeiro lugar o país e não a pessoa ou o partido. Que saibamos aprender!",0
"Carla, foca nas pautas e projetos! esqueça a Joice... bora pra frente!🙌🙌",0
"Bandido corrupto pensando dar lição de moral com sua imoralidade, verdadeira desgraça para a humanidade. Acorda pequena parcela de cegos e surdos que não enxergam a realidade. Segue firme nosso Presidente Bolsonaro.",1
Tao esperando o q p fechar esse puteiro?!?,1
Desfazem tudo que o presidente Bolsonaro faz !!! Que sentido faz ?,0
Aí está mentindo para a reporte,1
"A @ledanagleoficial é, para mim, a melhor entrevistadora do Brasil",0
Condenado cale sua boca,1
"deixar esse indivíduo solto ele pensa q pode falar oq ele quer recole ele atrás das grades e não de mais liberdade,Moro esta esperando oq ?",1
demencia será?,1
Que horror canalhas😢😢,1
😍😍😍😍onde curti mil vezes ??,0
🤣🤣🤣🤣🤣 #GLOBOLIXO 💩💩💩💩💩💩💩,1
Quantos idiotas votaram? Guria de manobra política. Deveria estar no colégio e fazendo coisas da idade dela e sendo usada por tantos picaretas...,1
👏👏👏👏👏👏PARABÉNS FACHIM,0
@mcarolinabau amiga vc viu essa merda?,1
"Achei que o impeachment viria logo, mas tá demorando .🤣🤣",0
Maravilhoso um lorde👏👏👏,0
Olha o que esse senhor feis com os trabalhador ok imposto sobre férias e desimo traseiro salário você pagar imposto ater de hora extra Esso e Vergonhoso o que está a com ter sendo nesse país ok Esso eu não estou acredetano ok,0
"Projeto do George Soros, patrocinador da esquerda no mundo.",0
É triste demais,0
Da pra respeitar algum lugar que considere essa pirralha relevante ou de espaço pra ela ?,1
MEU PRESIDENTE AI ❤️❤️❤️,0
Mas continuam perseguindo Lula,0
"Ainda vamos ver muito absurdo antes de grande parte do bolsonarismo chucro acordar, o resto vai ser fiel não importa o que vier",1
"Merece até demais, parabéns professor!",0
Esses não são gente. Esses são escória de nossa política.,1
Moro Limpou Num Bumbum de Temer Aécio e Bolsonaro,1
Vai fazer campanha pra Argentina tb? O gado dele não vota lá...,1
"Nós vamos respirar forte,a economia vai melhorar,tenho fé em Deus e em nosso presidente.",0
Parabens Fachin.,0
@steff.guimaraes a heroína que o mundo precisa,0
"Agora sim vale a pena, não aquele escroto do Lobão, @ledanagleoficial",1
E quando os obstáculos estão dentro de casa? 🤣,0
Projeto para ter um desses em cada cidade Brasileira..ai sim o futuro estara garantido..,0
dois comediantes na foto,0
Esse dinheiro sujo!,1
Haddaddy te amo @fernandohaddadoficial vai na UNIFESP de Guarulhos bandejar com a gente e ver o ensaio da @bateriamalaguetta,0
"Eu acho é pouco! Retire o que puder, o Brasileiro merece!",0
"Veganiza, Haddad ❤️",0
"Joyce, se eu gostasse de mimimi eu comprava um gato gago.",1
Ele deixou claro quais Valores carrega.,0
"Haddad vem pro veganismo, vamos salvar esse planeta <3",0
Parabéns.,0
Bom dia minha linda aproveito suas postagens para dizer que TMJ gratidão! Quero agradecer a todos que colabararam direto e indiretamente para o acontecimento dessa audiência em defesa das nossas crianças! Com foco na vulnerabilidade da crianças e adolescentes e sobre a criação de um novo conselho tutelar para Juazeiro!,0
Quanto nojo🤮,1
"Isso em partes vai ser bom porque só ganha quem falar a verdade, mas por outro lado quero vê alguém provar que está dizendo a verdade. Isso é censura.",0
Queridos gênios! 🔝🔝🔝🔝🔝,0
Ser mais escroto.,1
Tem que ir para a cadeia!!,1
"Parabéns, professor! ❤️",0
"O preço da carne subindo também,mas com remuneração de R$33,763 tá tranquilo né deputado.",0
Ele lá sabe disso tudo! Ele é burro e chucro kkk,1
Que maravilha!!!,0
velho nojento,1
Tenho fé a esquerda vencerá,0
Sempre muito inteligentes as analogias de janaina,0
Nojo dessa corja,1
Que corrupto chato,1
Essa é uma canalha esquerdopata! Nós brasileiros não precisamos de suas condolências! Bandida!,1
Pilantra,1
Farinha do mesmo saco nojo desses políticos,1
"O Brasil comum, sem foro privilegiado, não acredita em Congresso Nacional e Judiciário, principalmente neste tal STF. São muito cara de pau.",1
Pra cima deles presidente Bolsonaro!,0
Só assim as hienas se apresentam...,1
Nenhuma pessoa deveria dar ouvidos para essa garota. E nosso presidente toda vez que aparece na TV é por causa de falas que não cabem a um líder de um país fazer!,0
"Ela teria que ter pena qndo tirou dos hospitais do Brasil,pra continuar defendendo bandidos!!!",1
"Agora eu vou concordar com vc, os filhos estão atrapalhando a gestão do Pai. Infelizmente",0
"Exatamente , é o que acho.",0
Filha de negros sou branca por capricho da natureza. Mas faço questão de gritar. NEGRA SIM! NEGRA SOU!,0
Bando de covardes !! Sabem que o Brasil vai crescer com o acordo e arranjaram um meio de prejudicar o Brasil !!! Nojo !!!! 💩💩💩💩,1
E o trabalhador se tocou?ta ainda dormindo?,0
É muito mimi. Sem noção 🙄,1
"Eu votei nesse gato, mas infelizmente o cão ganhou...",0
Deus é justo! Fizeram essa injustiça com Lula porque sabiam que Lula fez e faz a diferença a nação brasileira. E por causa da burrice de muitos o país tá passando por esse caos. Em todo o quesito. O pior cego é aquele que vê os fatos e finge demência. Deus é mais. Lula. Que Deus ilumine o senhor. Meu eterno presidente! ❤❤❤❤❤❤❤❤❤,0
Prezado meu pai dizia “ das palavras q falo sou escravo das que penso sou rei “! Por favor escreva 2000000vezes pra nunca mais esquecer e não prejudicar mais o nosso Presidente em quem confiamos !,0
Perfeito👏🙌,0
Muito boa essas medidas para os pobre que pensam e são ricos bota pra f,0
Boa!!!,0
#globolixo,1
caixa 2,1
Deus esteja contigo deputada 😢😢,0
Biscate,1
Dá-lepeeeepaaaaa👏👏👏👏👏,1
"Dois gatos lindões , inteligentes e de esquerda! Perfeito!",0
"Continuo contra! Pode ser negra, polonesa, freira, macumbeira ou miss Piraquara. Sou contra!",1
"Deputada Mimimi, vai trabalhar! Larga o teclado da discórdia! Que dor na alma sua pessoa sente!Deus e um bom terapeuta para te socorrer. Vergonha!",1
"Gosto das entrevistas dela, sempre coerente e com muita ética. Isso é jornalismo de qualidade.",0
Bom demais👏👏👏👏👏,0
Seriedade e trabalho,0
Parabéns merece👏👏,0
Carla seja superior não de ibope para essa traíra!,1
"Toma Otarios que votaram nele olha que Elle so fode os pobres os Rico's tem tudo sabe me dizer Qual foi o ato dele contra os Rico's ,?",1
"K vergonha, alguém k foi eleito pelo povo, sendo racista, espero k os eleitores desse deputado vejam isso...🤔🤔🤔",0
Parabéns Mestre🙏🏽,0
E graças as lutas de muitas o Miss Universo tá deixando de ser um concurso somente de beleza.,0
Outra pilantra!,1
Linda demais . Me representa,0
Eles são canalhas.. Covardes.. Destruíram nosso país.. Nos roubaram descaradamente.. Não se importam nem um pouco com nossa nação.. Apenas buscam seus próprios interesses e são doentes pelo poder.. Querem estar no controle.. Querem o poder a qualquer custo!.. Nós não recuaremos.. Nós venceremos!.. E eles serão envergonhados!... 🇧🇷🇧🇷,1
👏👏👏👏👏👏👏👏👏parabéns vamos tira esse governo sujo,0
Já passou da hora desses meninos ficarem calado. toda vez que eles falam alguma coisa so fazem da munição pra esquerda. Pelo amor de Deus fiquem calados,0
Vc tá fazendo a diferença no nosso País #SomosTodosDamares,0
"Jamais desistir! Este país é nosso. Este canalha convoca abertamente os marginais para apoiá-lo em uma revolução, quando diz que não suporta ver a polícia oprimir jovens que roubam celulares. Que tamanho absurdo! O Brasil vai crescer e ser uma grande potência mundial.",1
"Se ela fala merda porque, vcs minions , ainda param pra ouvir ? O presidente de vcs é um poço de sabedoria né ?!",1
Força Ministra ...,0
Sérgio Moro 👏🏻,0
Gente do bem ❤️😍,0
Isso tá tão feio. Vocês deveriam fazer um conclave do psl. Se trancarem em um quarto e só sair de lá quando os que sobrarem tiverem algo decente pra seguir. O psl era ruim quando era só ua legenda de aluguel e agora ficou pior ainda com deputados imaturos. O PT agradece.,1
O PRESIDENTE ESTÁ CERTÍSSIMO E UMA PIRRALHA NÃO RESPONDE POR SI MUITO MENOS NÃO CONHECE A VERDADEIRA FACE DA POLÍTICA NO MUNDO,1
Presidente Bolsonaro com razão pirralha,1
Somos todos Damares,0
Muito sensata Janaina Paschoal concordo plenamente eles da falas de der argumentos ai fica difícil...,0
Own! Dois lindos!! ♥️♥️,0
Pirralha !!!!,1
Caiu em desgraça no PSL. TR CUIDA!@@,1
Parabéns e OBRIGADO!,0
Dois seres humanos incríveis e queridos.,0
"@realrcoutinho, a PB se orgulha muito. Gratidão por toda luta.",0
#globolixo,1
"@fernandohaddadoficial O SENHOR SERIA O PRESIDENTE , MAS BONITO, DEUS ABENÇOE..",0
Dois ridiculos😊😊😊😊,1
"Esses filhos do presidente só atrapalham, cada um tem que seguir a sua própria vida.",0
A lei devia ser pra ele começar com ele é muito pra minha cabeça,0
Eu votei no Bolsonaro .não em seus filhos,0
Rede Pública= Escola Militar🙏Já!!,0
Parabéns!,0
"UAUUUUUUUUUUU, ENGULAM ESQUERDA",1
So colhe o que planta.se eu fosse ela mandava exorcisar seu gabinete,1
Um oásis em meio ao caos 👏👏👏👏👏 lindíssima,0
😂 pra mim não precisa disso,0
"Fecha a Globo,ela é um caminhão de fake News",1
Tem que mostrar mesmo TUDO que ocorre no partido no qual nós elegemos os participantes.,0
Seria bom se todos os colégios fossem dessa maneira 👏👏,0
Parabéns professor👏👏👏👏,0
Essa coisa esta se achando demais,1
Revoltante o q este ser fez.,0
"Tenho certeza que por pior que esteja por lá o povo Argentino saberá cobrar seu governo, não será necessário trocar um governo ruim teoricamente por um péssimo exatamente.",0
Velho Nojento...,1
"Pior do que ele falando esse monte de asneira, é um bando de asno no meio da chuva, na estrada e com um frio da porra pra ouvir essas idiotices e bater palma! 😒😒😒",1
Esse miliciano é um fdp,1
Força Manu 👊🙏,0
Perfeito!!,0
"Eduardo bolzo - Antes das eleicoes: vamos nomear somente por perfil técnico. Depois: para ser embaixador, estou estudando historia pela internet. 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 hahahahahahahahahahahahahahahahahahahahahahahahahahahahahah",0
Maravilhosaaaaa. Amo Damares,0
😂😂😂 lula foi ministro??? Credo eu não sabia 😂😂😂😂,1
Dois pombo sujo,1
PT roubando o país inteiro!!,1
Escroto FDP,1
Obrigada vocês se unirem em prol do povo brasileiro...,0
Parabéns professor! Você merece muito mais.💜💜💜,0
Assisto onde?,0
Perfeita🖤,0
Louco,1
"Filhos mimados e irresponsáveis. Tinham q tomar uma surra e ficar de castigo, sem celular e sem briquedos",1
Mulher retada 👏👏👏,0
"Bandida, safada, comunista e corrupta!!! Fora do Brasil!! Lixo!!!",1
Pq é uma PILANTRA do mesmo NÍVEL BAIXO de LULADRÃO E DIMANTA!,1
"JAMAIS IRIA TORCER CONTRA O MEU BRASIL, MAS BEM FEITO PRA QUEM VOTOU NESSE PEDAÇO DE ESTRUME, EU VOU ME FODER, MAIS QUERO VER DE CAMAROTE ESSES BURROS SE FODEREM MAIS AINDA!",1
Por favor né.,0
Essa foto ficou bonita,0
De arrepiar,0
Meu futuro presidente.,0
"Não podemos mais nem compartilhar?Como vamos saber o que é mentira ou verdade?Eu disser que a esposa do Macron é muito feia,eu@poço ser punida?é FAKE?",0
Mais uma vez a globolixo distorce a matéria . Impressionante ....,1
Força e fé meu PRESIDENTE! !!!,0
Chupa pobre de direita!!!!🤣🤣,1
Veia safada.,1
Impeachment já do Bolsonaro,0
Mídia pirralha...,1
"Se for verdade, essa é a raça que deveria ser extinta do mundo.",1
Podridão dessa gente 🤮🤮🤮🤮,1
"Joice, vc ta pior que a pirralha",1
Verdade,0
É sério isso? Invasão da Alemanha nazista na Polônia?,0
É complicado o desmame dessa turma da esquerda. Se acostumaram com a grana fácil desviada dos cofres públicos e agora esperneiam com a seca total.,1
Denúncia essa cambada!!! Quadrilha!!!,1
🤔🤔🤔 será que as notícias fake vão vir com o anexo no roda pé ... é fake kkkkkk,0
Interna ele junto com o Adélio está louco 🤣🤣🤣🤣🤣,1
Os filhos tem que deixar o pai trabalhar em paz. Será que dá pra ficar calados. É deixar o barco andar sem a interferência deles. Pelo o amor de Deus. Deixa o homem trabalhar.,0
VAMO QUE VAMO CRISTINA,0
